Age,Family_Size,Location,Monthly_Income_INR,Current_Brand,Replacement_Frequency,Primary_Channel,Willing_to_Pay_Premium,Japanese_Brand_Bias
44,4,Eastern Suburbs,145000,Godrej Protekt,Weekly,Local Kirana,Yes,5
45,6,Western Suburbs,225000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
56,4,Navi Mumbai,110000,Palmolive,Weekly,Local Kirana,Yes,4
30,4,Navi Mumbai,80000,Lifebuoy,Weekly,Local Kirana,No,4
26,2,Western Suburbs,195000,Other/Organic,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
45,2,Navi Mumbai,105000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),No,3
30,3,Navi Mumbai,150000,Dettol,Every 2 Weeks,Local Kirana,Yes,3
39,3,Eastern Suburbs,170000,Palmolive,Monthly,Online,Yes,4
35,5,Western Suburbs,240000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
34,4,Western Suburbs,130000,Dettol,Weekly,Large Supermarket,Yes,4
50,3,Western Suburbs,240000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,3
46,4,South Mumbai,355000,Other/Organic,Weekly,Online (Blinkit/BigBasket),Yes,4
44,2,Navi Mumbai,115000,Lifebuoy,Monthly,Hypermarket (D-Mart),No,3
47,5,Western Suburbs,330000,Palmolive,Weekly,Organic Store,Yes,3
34,3,Navi Mumbai,130000,Godrej Protekt,Monthly,Local Kirana,Yes,4
35,4,Navi Mumbai,70000,Savlon,Weekly,Local Kirana,No,3
26,1,Western Suburbs,315000,Palmolive,Monthly,Local Kirana,Yes,5
45,6,Western Suburbs,315000,Dove,Weekly,Large Supermarket,Yes,3
30,2,South Mumbai,200000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
36,3,Western Suburbs,135000,Lifebuoy,Monthly,Online (Blinkit/BigBasket),Yes,4
43,3,South Mumbai,360000,Dove,Monthly,Large Supermarket,Yes,4
51,1,Western Suburbs,170000,Dove,Quarterly,Online (Blinkit/BigBasket),Yes,3
51,4,Navi Mumbai,130000,Savlon,Weekly,Hypermarket (D-Mart),Yes,4
23,2,Eastern Suburbs,55000,Savlon,Every 2 Weeks,Local Kirana,No,3
22,6,Western Suburbs,290000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,5
36,3,Navi Mumbai,95000,Dettol,Monthly,Hypermarket (D-Mart),No,3
43,4,Navi Mumbai,75000,Lifebuoy,Weekly,Hypermarket (D-Mart),No,3
42,4,Western Suburbs,190000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
18,4,Eastern Suburbs,175000,Dettol,Weekly,Local Kirana,Yes,3
33,2,Navi Mumbai,90000,Dettol,Quarterly,Local Kirana,No,5
43,2,Eastern Suburbs,100000,Dettol,Monthly,Local Kirana,No,5
32,5,Western Suburbs,245000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
43,2,South Mumbai,435000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,3
43,4,Navi Mumbai,130000,Dettol,Weekly,Local Kirana,Yes,5
45,2,Western Suburbs,150000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,5
22,1,South Mumbai,305000,Dettol,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
30,4,Navi Mumbai,80000,Dettol,Weekly,Hypermarket (D-Mart),No,4
34,4,Western Suburbs,195000,Dettol,Weekly,Organic Store,Yes,5
29,4,South Mumbai,365000,Palmolive,Weekly,Local Kirana,Yes,5
37,4,South Mumbai,290000,Palmolive,Weekly,Local Kirana,Yes,3
43,4,South Mumbai,355000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
27,4,Eastern Suburbs,115000,Palmolive,Weekly,Local Kirana,Yes,3
24,5,South Mumbai,285000,Palmolive,Weekly,Local Kirana,Yes,5
38,2,Eastern Suburbs,155000,Dettol,Quarterly,Local Kirana,Yes,4
29,4,Eastern Suburbs,120000,Dettol,Weekly,Local Kirana,No,4
42,2,Thane,90000,Dettol,Monthly,Local Kirana,No,3
22,4,Western Suburbs,300000,Palmolive,Weekly,Organic Store,Yes,5
33,2,Eastern Suburbs,140000,Palmolive,Every 2 Weeks,Local Kirana,Yes,4
36,6,Navi Mumbai,95000,Dettol,Weekly,Hypermarket (D-Mart),No,4
49,4,Eastern Suburbs,105000,Dettol,Weekly,Local Kirana,No,3
35,3,Western Suburbs,120000,Dettol,Quarterly,Online (Blinkit/BigBasket),Maybe,4
41,4,Eastern Suburbs,100000,Savlon,Weekly,Organic Store,Maybe,2
33,4,Western Suburbs,145000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,3
28,4,Western Suburbs,145000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,5
39,3,Thane,90000,Dettol,Quarterly,Local Kirana,Maybe,3
43,4,Eastern Suburbs,90000,Godrej Protekt,Weekly,Hypermarket (D-Mart),No,3
31,2,Western Suburbs,70000,Local/Other,Monthly,Hypermarket (D-Mart),No,4
30,3,Western Suburbs,260000,Dove,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
43,4,South Mumbai,345000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
39,2,South Mumbai,255000,Dove,Monthly,Organic Store,Yes,4
28,1,Eastern Suburbs,85000,Dettol,Monthly,Hypermarket (D-Mart),Maybe,4
30,2,Navi Mumbai,85000,Dettol,Monthly,Local Kirana,No,3
30,4,South Mumbai,255000,Dove,Weekly,Large Supermarket,Yes,5
29,4,Western Suburbs,145000,Dettol,Weekly,Local Kirana,Yes,4
42,3,South Mumbai,165000,Palmolive,Monthly,Large Supermarket,Yes,4
37,2,Navi Mumbai,75000,Savlon,Every 2 Weeks,Local Kirana,No,3
38,2,Western Suburbs,335000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,4
24,3,South Mumbai,220000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
24,4,Western Suburbs,245000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
26,6,South Mumbai,335000,Dove,Weekly,Large Supermarket,Yes,5
22,3,Thane,100000,Godrej Protekt,Monthly,Online,No,4
37,4,Thane,95000,Godrej Protekt,Weekly,Local Kirana,No,2
35,2,Navi Mumbai,85000,Dettol,Monthly,Local Kirana,No,2
30,2,Navi Mumbai,125000,Dettol,Quarterly,Hypermarket (D-Mart),No,5
32,4,Thane,70000,Local/Other,Weekly,Local Kirana,No,3
22,3,Eastern Suburbs,160000,Palmolive,Monthly,Hypermarket (D-Mart),Yes,5
25,4,Navi Mumbai,125000,Savlon,Weekly,Organic Store,No,5
41,3,South Mumbai,375000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
47,3,Navi Mumbai,90000,Palmolive,Monthly,Local Kirana,Yes,3
40,4,Western Suburbs,170000,Dove,Weekly,Large Supermarket,Yes,2
39,4,Western Suburbs,215000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,4
69,3,Eastern Suburbs,70000,Lifebuoy,Quarterly,Local Kirana,No,3
43,2,South Mumbai,325000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
44,4,Western Suburbs,280000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,3
36,4,Western Suburbs,75000,Dettol,Weekly,Local Kirana,No,3
36,3,Thane,115000,Godrej Protekt,Every 2 Weeks,Local Kirana,Maybe,3
61,3,Eastern Suburbs,80000,Savlon,Monthly,Hypermarket (D-Mart),Maybe,2
38,3,Thane,40000,Lifebuoy,Monthly,Hypermarket (D-Mart),No,4
41,2,Navi Mumbai,85000,Palmolive,Monthly,Organic Store,Yes,2
18,3,Western Suburbs,290000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,4
22,3,Thane,110000,Dettol,Monthly,Online,Maybe,3
18,5,Western Suburbs,260000,Dove,Weekly,Local Kirana,Yes,4
23,5,Eastern Suburbs,150000,Dettol,Weekly,Hypermarket (D-Mart),Yes,4
52,4,Navi Mumbai,95000,Dettol,Weekly,Local Kirana,No,3
36,3,Western Suburbs,350000,Dove,Every 2 Weeks,Large Supermarket,Yes,4
42,2,Navi Mumbai,100000,Savlon,Every 2 Weeks,Local Kirana,Maybe,3
27,5,Navi Mumbai,115000,Godrej Protekt,Weekly,Hypermarket (D-Mart),No,4
40,3,Thane,55000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),No,3
43,3,Eastern Suburbs,105000,Godrej Protekt,Monthly,Local Kirana,No,3
33,2,Western Suburbs,265000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
37,4,South Mumbai,305000,Palmolive,Weekly,Large Supermarket,Yes,4
36,2,Navi Mumbai,125000,Godrej Protekt,Quarterly,Local Kirana,Maybe,5
29,1,Western Suburbs,390000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,5
45,5,Navi Mumbai,45000,Lifebuoy,Weekly,Local Kirana,No,3
61,2,Thane,95000,Lifebuoy,Every 2 Weeks,Local Kirana,Maybe,2
23,3,Eastern Suburbs,100000,Savlon,Monthly,Local Kirana,No,4
30,4,Navi Mumbai,140000,Dettol,Weekly,Local Kirana,Yes,4
23,3,Western Suburbs,245000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,5
41,3,Eastern Suburbs,100000,Savlon,Monthly,Online,No,3
25,3,South Mumbai,130000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,5
47,4,Western Suburbs,155000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
47,4,Thane,70000,Savlon,Weekly,Local Kirana,Maybe,5
43,3,South Mumbai,375000,Dettol,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
26,3,South Mumbai,255000,Godrej Protekt,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
50,2,Eastern Suburbs,155000,Godrej Protekt,Monthly,Hypermarket (D-Mart),Yes,4
40,3,Western Suburbs,230000,Palmolive,Quarterly,Large Supermarket,Yes,3
53,4,South Mumbai,250000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
45,2,Western Suburbs,295000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
27,2,Western Suburbs,160000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,4
38,3,Navi Mumbai,110000,Dettol,Every 2 Weeks,Local Kirana,No,3
39,2,Western Suburbs,210000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,5
48,1,Thane,70000,Dettol,Monthly,Local Kirana,No,2
47,4,Western Suburbs,255000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,4
42,4,Navi Mumbai,85000,Dettol,Weekly,Local Kirana,No,2
58,5,Thane,50000,Lifebuoy,Weekly,Hypermarket (D-Mart),No,3
26,3,Thane,60000,Lifebuoy,Monthly,Local Kirana,No,3
27,3,Western Suburbs,115000,Lifebuoy,Monthly,Online (Blinkit/BigBasket),Maybe,4
25,4,Thane,110000,Dettol,Weekly,Local Kirana,No,3
37,5,Western Suburbs,195000,Other/Organic,Weekly,Large Supermarket,Yes,3
41,3,South Mumbai,150000,Dettol,Monthly,Organic Store,Yes,3
27,2,Eastern Suburbs,95000,Palmolive,Quarterly,Organic Store,Yes,3
32,2,Western Suburbs,295000,Godrej Protekt,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
32,6,Western Suburbs,105000,Dettol,Weekly,Online (Blinkit/BigBasket),No,5
42,5,Western Suburbs,275000,Dettol,Weekly,Large Supermarket,Yes,4
26,3,Navi Mumbai,90000,Dettol,Quarterly,Local Kirana,Maybe,2
33,3,Eastern Suburbs,155000,Godrej Protekt,Monthly,Local Kirana,Yes,3
23,2,Western Suburbs,325000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
42,2,Eastern Suburbs,85000,Godrej Protekt,Monthly,Online,Maybe,3
31,4,Eastern Suburbs,80000,Lifebuoy,Weekly,Online,Maybe,3
32,3,South Mumbai,280000,Palmolive,Every 2 Weeks,Organic Store,Yes,4
48,3,Thane,110000,Godrej Protekt,Every 2 Weeks,Online,No,2
18,3,South Mumbai,180000,Dove,Quarterly,Online (Blinkit/BigBasket),Yes,5
